species,lon,lat,countryCode,year,basisOfRecord,individualCount,institutionCode,datasetName,gbifID
NA,-75.829528,-9.221861,PER,2024,PRESERVED_SPECIMEN,1,COL,Tropicos,5054558306
NA,-74.480556000000007,3.893611,COL,2023,PRESERVED_SPECIMEN,3,COL,Tropicos,5868815018
NA,-75.268611,5.81,COL,2023,PRESERVED_SPECIMEN,3,COL,Tropicos,5868814678
NA,-76.103056,-8.490833,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831595616
NA,-76.101667,-8.490278,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831605446
NA,-76.118889,-8.489722,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831614206
NA,-76.103056,-8.491944,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831616504
NA,-76.093333,-8.491111,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831631100
NA,-76.0975,-8.493611,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831636707
NA,-76.094722,-8.491944,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831636956
NA,-67.500833,-16.343889,BOL,2022,PRESERVED_SPECIMEN,8,COL,Tropicos,4062117049
NA,-74.368611,4.661389,COL,2022,PRESERVED_SPECIMEN,1,COL,Tropicos,5831625571
NA,-76.007222,-7.0619440000000004,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831605697
NA,-76.013333,-7.066667,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831607547
NA,-76.010278,-7.062222,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831622665
NA,-75.573889,-10.1825,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831619062
NA,-74.206111,5.011389,COL,2022,PRESERVED_SPECIMEN,3,COL,Tropicos,5868814992
NA,-75.976944,-7.3425,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831608265
NA,-75.983056,-7.361111,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831613269
NA,-75.964167,-7.342222,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831616761
NA,-75.896917,5.49925,COL,2022,PRESERVED_SPECIMEN,1,COL,Tropicos,3946856753
NA,-75.835278,-7.4275,PER,2022,PRESERVED_SPECIMEN,4,COL,Tropicos,5831588762
